,기온,풍속,습도,증기압,이슬점,현지기압,전운량,중하층,지면온도,log_percip,1시간전,2시간전,3시간전,4시간전,5시간전,6시간전,마포 강수량,마포 1시간전,마포 2시간전,마포 3시간전,마포 4시간전,마포 5시간전,마포 6시간전,성북 강수량,성북 1시간전,성북 2시간전,성북 3시간전,성북 4시간전,성북 5시간전,성북 6시간전,성동 강수량,성동 1시간전,성동 2시간전,성동 3시간전,성동 4시간전,성동 5시간전,성동 6시간전,용산 강수량,용산 1시간전,용산 2시간전,용산 3시간전,용산 4시간전,용산 5시간전,용산 6시간전
기온,1.0,0.14171275629910804,-0.16544574328434722,0.6503515025630772,0.6550686136605024,-0.4596011437564323,0.16741462204165983,0.14549274799847658,0.845346405356487,-0.033746234005109454,-0.03536042442568135,-0.03366074834578334,-0.03089185750900875,-0.027747854715985305,-0.024490539710462573,-0.021391942695602264,-0.03307132896965012,-0.035570552192288794,-0.033998747359717314,-0.031177928559676545,-0.028088888576684796,-0.025051214803005598,-0.022035152960660147,-0.029764586527547793,-0.03161872860965015,-0.030239973931248366,-0.0279831560431902,-0.02541774175977021,-0.022611009897495378,-0.019900598497369214,-0.0301172133001153,-0.03212452992896291,-0.030590055866884368,-0.02762175105476214,-0.024509627118474472,-0.021425576430865848,-0.01835882370051411,-0.03469667258452582,-0.03727148871166237,-0.0357000083808991,-0.03273082466099018,-0.02954631272268939,-0.02629375503808583,-0.022945096682238326
풍속,0.14171275629910804,1.0,-0.19356422447434796,-0.029106348879913223,-0.04552538058756055,-0.201844774301281,0.07182457643473784,0.09393743782167734,0.2132391252498659,0.06988335232606722,0.06432258597356094,0.07215111975918657,0.07239335968955078,0.07400941411618668,0.07598362968916762,0.07798835939324782,0.06519900171245782,0.059541598227086635,0.06636464007505143,0.06844754983010148,0.0698590321113552,0.07216486056872246,0.07399808537770304,0.07912768310935926,0.07418765817561787,0.07894727040745891,0.08014834948994393,0.08137269442950615,0.08263713501407842,0.08303624923960459,0.06543605215945095,0.06306881427729563,0.06726682845743377,0.06774772183604776,0.0692775082372746,0.07139592756693275,0.0717126404828413,0.059905054770629906,0.05470166875089955,0.06079338164725609,0.06236610355154212,0.06448117604777581,0.06659266637376943,0.06896214239614276
습도,-0.16544574328434722,-0.19356422447434796,1.0,0.6048585874571714,0.6216848581376765,-0.27414179326313415,0.43251390855470395,0.4639286267351862,-0.3668151987005167,0.33598023558004614,0.3338941127248645,0.3250143446549405,0.315205186090663,0.30500162718859025,0.29462784366742,0.28437331155974255,0.31549332902194765,0.3157959494626153,0.3079589327387093,0.2981525671599304,0.2884899714684803,0.2788622585170269,0.26902298643699396,0.32813123358667656,0.3268139038772914,0.31880240969228946,0.3101738888082535,0.30105497170431506,0.29139351483870296,0.28184626320952716,0.31395070634275574,0.31294173513402285,0.3048295823686816,0.29513274998283245,0.2856317979978273,0.27618158925515895,0.2663826265975279,0.31393832622182355,0.3143146626881992,0.30636465093854265,0.2964888816152847,0.2865542252454537,0.2769072825726089,0.2663258562292622
증기압,0.6503515025630772,-0.029106348879913223,0.6048585874571714,1.0,0.9760951495576559,-0.5384945528393921,0.4452522259538386,0.4606664366360544,0.3545656419067236,0.20626785007363788,0.2030632634095069,0.19893053735861377,0.1950917351295935,0.19146727339522265,0.18793393547324624,0.1843055234253936,0.1920609508240218,0.18953528616022208,0.18596570349821412,0.18225623188320503,0.17902375833706022,0.17576435608768615,0.17232630233781318,0.20497898931604985,0.20224575699857636,0.19860489386840005,0.19512970450604253,0.19166567208424662,0.18809749048422889,0.18442919291511334,0.19376275967930148,0.19092421363586695,0.18714863651603722,0.18370762919644357,0.18039615482138197,0.1772897790537032,0.174032605753122,0.18901939975894227,0.1864757571026762,0.1829118511530427,0.17939738219224305,0.17600778694737904,0.1728516122789353,0.16924117580944803
이슬점,0.6550686136605024,-0.04552538058756055,0.6216848581376765,0.9760951495576559,1.0,-0.5536456771392599,0.4502097703293809,0.45620998824752307,0.3629596732612089,0.19025039850307063,0.1880150414216735,0.18483436876858217,0.18166756481735136,0.17848802136725095,0.1752390048927303,0.17184850674069882,0.17765033921102336,0.17585936173083114,0.17307225466409668,0.16997641668106767,0.16707077115329777,0.16401303096160194,0.16073427070104582,0.1885126751844377,0.18654499047432574,0.18365119648769448,0.18074231930830711,0.17768208130968025,0.17444155281244408,0.17104564095716965,0.17889785540953024,0.17685119026274584,0.17392897076704725,0.17106623247189423,0.16816657608482444,0.16523085326407982,0.16217729535256936,0.1755084577545262,0.17368553954084934,0.17092519782594007,0.1679486299755754,0.16495946246848542,0.16198517511169636,0.15864753508632332
현지기압,-0.4596011437564323,-0.201844774301281,-0.27414179326313415,-0.5384945528393921,-0.5536456771392599,1.0,-0.34614555095064997,-0.3499666560459214,-0.33437830990482076,-0.17711147883981926,-0.18256815603366813,-0.18659044200220964,-0.18935960190146808,-0.19113547306664677,-0.19205727011215665,-0.1921648925340694,-0.16766011688450763,-0.17322219942444125,-0.1773949539781805,-0.18032822580763538,-0.18216206803341026,-0.18312906870347218,-0.18317947908220245,-0.1787502277245862,-0.18381189390613045,-0.1876230537586039,-0.19012125135707933,-0.1914857288984712,-0.19223817919738362,-0.19216159720696932,-0.16743296809620525,-0.17248613753443873,-0.1762218516235903,-0.17865394826384312,-0.18011548377742342,-0.18075455266816887,-0.1805435075541898,-0.16482130530932845,-0.1701822275459119,-0.17413754773746148,-0.17695157408741216,-0.17875548773027708,-0.1796847764686636,-0.17980063539466096
전운량,0.16741462204165983,0.07182457643473784,0.43251390855470395,0.4452522259538386,0.4502097703293809,-0.34614555095064997,1.0,0.7872679631176306,0.057892603754980676,0.2748482030326148,0.26909301191851226,0.26333415316647407,0.2570476954006679,0.250206652575804,0.24312491401463066,0.2368689627652791,0.25880444965840865,0.25397562406486063,0.24827841209971188,0.2421226776175839,0.23565962216834765,0.22926912706531052,0.22363239554316416,0.2686820031871799,0.26361877945723583,0.2580144393544783,0.2522681347379806,0.2462247604625437,0.2398788757959139,0.23392721277483272,0.25618145530831443,0.25114824958927917,0.24562402377631218,0.2399788069502651,0.23396660470922792,0.22744865444270967,0.22135289463050573,0.25780717947617887,0.25259516887157013,0.2467190854912883,0.240346285779682,0.23398515179660292,0.22715990346897688,0.2208552311544026
중하층,0.14549274799847658,0.09393743782167734,0.4639286267351862,0.4606664366360544,0.45620998824752307,-0.3499666560459214,0.7872679631176306,1.0,0.04029801598625371,0.27743558692650794,0.2675737425075071,0.26012084629255233,0.2530991216518905,0.24659793156656012,0.24174205039640725,0.23632601740195727,0.2616352546363639,0.2535892748729671,0.245759525221548,0.23838439634988778,0.2324797296185387,0.2278975225985459,0.2228902378316331,0.27298637779253676,0.26456384481252343,0.2570126338395157,0.2501449927827129,0.24499673193928356,0.24093571047564685,0.23571215404925633,0.2604573914438962,0.25154123233142484,0.24372643034810615,0.23667886409122896,0.2314333598153202,0.2271429687641647,0.22196291919514646,0.2589013290347523,0.2516040823890086,0.24295927364765443,0.23570970066836675,0.22900272072838881,0.22398663384659437,0.21960058908812227
지면온도,0.845346405356487,0.2132391252498659,-0.3668151987005167,0.3545656419067236,0.3629596732612089,-0.33437830990482076,0.057892603754980676,0.04029801598625371,1.0,-0.055666423423747315,-0.05451392432203729,-0.05311526673228898,-0.05130016946244289,-0.04857621274399272,-0.04594807981977517,-0.043613164262926045,-0.05325391316339351,-0.052453844227892024,-0.05087094767087277,-0.04901289407456633,-0.0464322369410349,-0.044114219287894836,-0.04193009826373207,-0.05290861413793977,-0.05249744471225938,-0.05108924303310365,-0.04920048947373093,-0.04687385278478914,-0.044645631922152075,-0.04240445612712191,-0.050381953428348676,-0.04980420093554314,-0.048268569963952145,-0.04609763315254407,-0.04352289406509535,-0.04103368654976494,-0.038781271289001,-0.05356381500645855,-0.05315794394360555,-0.05165523577720461,-0.049575169142252414,-0.046741340874207025,-0.04406770600471953,-0.041699579230908626
log_percip,-0.033746234005109454,0.06988335232606722,0.33598023558004614,0.20626785007363788,0.19025039850307063,-0.17711147883981926,0.2748482030326148,0.27743558692650794,-0.055666423423747315,1.0,0.7107624646397801,0.5515520847581277,0.4593363741126131,0.3972558788823177,0.3483974618696699,0.30700430797373024,0.9299567789371308,0.7190099070682763,0.5476949147918939,0.4538185336646725,0.3875229989598865,0.34150749143273074,0.30118497118603343,0.9096254477675997,0.6788080409150848,0.5383742768041678,0.4480203729611418,0.39212850850014463,0.3446722731712922,0.30564331773848386,0.8764991081675615,0.6662016031066421,0.5220015097545356,0.4299520880228968,0.3725097498119397,0.32610568913929655,0.28556234036996847,0.8878010535106996,0.692046278438456,0.5359094296351966,0.4400756050038974,0.37764672166949315,0.32935607206594275,0.2898064125641616
1시간전,-0.03536042442568135,0.06432258597356094,0.3338941127248645,0.2030632634095069,0.1880150414216735,-0.18256815603366813,0.26909301191851226,0.2675737425075071,-0.05451392432203729,0.7107624646397801,1.0,0.7107624646397828,0.5515520847581294,0.45933637411261447,0.3972558788823185,0.3483974618696736,0.678991155200827,0.9299567789371357,0.7190099070682763,0.547694914791892,0.45381853366467334,0.3875229989598871,0.34150749143273385,0.7161685924928469,0.9096254477676091,0.6788080409150877,0.5383742768041712,0.4480203729611443,0.3921285085001476,0.34467227317129373,0.7159180264723962,0.8764991081675679,0.6662016031066482,0.5220015097545395,0.4299520880228966,0.3725097498119398,0.32610568913929683,0.6930780374776584,0.8878010535107085,0.6920462784384548,0.5359094296351952,0.4400756050038999,0.37764672166949254,0.32935607206594225
2시간전,-0.03366074834578334,0.07215111975918657,0.3250143446549405,0.19893053735861377,0.18483436876858217,-0.18659044200220964,0.26333415316647407,0.26012084629255233,-0.05311526673228898,0.5515520847581277,0.7107624646397828,1.0,0.7107624646397842,0.5515520847581288,0.4593363741126109,0.39725587888231934,0.5392227486219641,0.6789911552008334,0.9299567789371366,0.719009907068276,0.5476949147918967,0.45381853366467817,0.3875229989598884,0.5542302271317526,0.7161685924928449,0.9096254477676019,0.6788080409150881,0.5383742768041667,0.44802037296114194,0.3921285085001478,0.5585658691672001,0.715918026472394,0.8764991081675676,0.6662016031066431,0.5220015097545382,0.4299520880228986,0.37250974981194007,0.5508573115224775,0.6930780374776596,0.8878010535107047,0.6920462784384533,0.5359094296351976,0.440075605003898,0.37764672166949115
3시간전,-0.03089185750900875,0.07239335968955078,0.315205186090663,0.1950917351295935,0.18166756481735136,-0.18935960190146808,0.2570476954006679,0.2530991216518905,-0.05130016946244289,0.4593363741126131,0.5515520847581294,0.7107624646397842,1.0,0.7107624646397827,0.5515520847581257,0.4593363741126141,0.44743993255386566,0.5392227486219622,0.6789911552008279,0.9299567789371358,0.7190099070682762,0.5476949147918971,0.45381853366467684,0.4664202596082172,0.5542302271317527,0.7161685924928436,0.9096254477676117,0.678808040915086,0.5383742768041708,0.4480203729611444,0.4653134835290045,0.5585658691672006,0.7159180264723957,0.8764991081675679,0.6662016031066458,0.5220015097545418,0.4299520880228974,0.45515921681924904,0.5508573115224782,0.6930780374776564,0.8878010535107054,0.6920462784384557,0.5359094296351975,0.44007560500389886
4시간전,-0.027747854715985305,0.07400941411618668,0.30500162718859025,0.19146727339522265,0.17848802136725095,-0.19113547306664677,0.250206652575804,0.24659793156656012,-0.04857621274399272,0.3972558788823177,0.45933637411261447,0.5515520847581288,0.7107624646397827,1.0,0.7107624646397789,0.5515520847581281,0.384996402020772,0.4474399325538668,0.5392227486219657,0.6789911552008328,0.9299567789371408,0.7190099070682793,0.5476949147919004,0.40201073864906345,0.46642025960821937,0.5542302271317509,0.7161685924928456,0.9096254477676116,0.6788080409150834,0.5383742768041686,0.3949669581355228,0.46531348352900487,0.558565869167201,0.7159180264723977,0.876499108167561,0.6662016031066463,0.5220015097545363,0.38891516828467276,0.4551592168192478,0.550857311522476,0.6930780374776571,0.8878010535107116,0.6920462784384551,0.535909429635197
5시간전,-0.024490539710462573,0.07598362968916762,0.29462784366742,0.18793393547324624,0.1752390048927303,-0.19205727011215665,0.24312491401463066,0.24174205039640725,-0.04594807981977517,0.3483974618696699,0.3972558788823185,0.4593363741126109,0.5515520847581257,0.7107624646397789,1.0,0.7107624646397829,0.33568906061620246,0.3849964020207714,0.44743993255386394,0.5392227486219648,0.6789911552008302,0.9299567789371337,0.7190099070682787,0.35558400652453864,0.40201073864906134,0.4664202596082143,0.5542302271317511,0.7161685924928415,0.9096254477676059,0.6788080409150875,0.34423218657549054,0.39496695813552285,0.46531348352900415,0.5585658691672007,0.7159180264723944,0.8764991081675687,0.6662016031066416,0.3390736898277792,0.38891516828467343,0.4551592168192434,0.5508573115224782,0.693078037477658,0.8878010535107032,0.6920462784384512
