지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
415,2020-01-01 00:00,-5.7,36.5,.6,0,,,,,
415,2020-01-01 01:00,-5,42.9,.9,0,,,,,
415,2020-01-01 02:00,-4.9,250,.5,0,,,,,
415,2020-01-01 03:00,-5,153.2,.7,0,,,,,
415,2020-01-01 04:00,-4.9,47.8,1.3,0,,,,,
415,2020-01-01 05:00,-5.1,51.6,1.5,0,,,,,
415,2020-01-01 06:00,-4.9,39.8,1.7,0,,,,,
415,2020-01-01 07:00,-4.5,42.8,2.1,0,,,,,
415,2020-01-01 08:00,-4.3,42.9,1.8,0,,,,,
415,2020-01-01 09:00,-4.1,51.2,2.4,0,,,,,
415,2020-01-01 10:00,-4,42.9,2.5,0,,,,,
415,2020-01-01 11:00,-3.7,43.3,2.1,0,,,,,
415,2020-01-01 12:00,-2.9,39.2,2,0,,,,,
415,2020-01-01 13:00,-1.8,45.8,2.1,0,,,,,
415,2020-01-01 14:00,-1,34.2,1.3,0,,,,,
415,2020-01-01 15:00,-.1,337.2,.5,0,,,,,
415,2020-01-01 16:00,.3,197.5,1.2,0,,,,,
415,2020-01-01 17:00,.4,62.2,.8,0,,,,,
415,2020-01-01 18:00,.4,55.8,1.2,0,,,,,
415,2020-01-01 19:00,.2,47.6,.6,0,,,,,
415,2020-01-01 20:00,.2,20.6,1.3,0,,,,,
415,2020-01-01 21:00,0,33.1,.9,0,,,,,
415,2020-01-01 22:00,-.2,31.9,1.1,0,,,,,
415,2020-01-01 23:00,-.1,35.1,1.3,0,,,,,
415,2020-01-02 00:00,0,41.9,1.5,0,,,,,
415,2020-01-02 01:00,-.1,29.9,1.3,0,,,,,
415,2020-01-02 02:00,-.2,49.5,2.8,0,,,,,
415,2020-01-02 03:00,-.2,47.1,1.6,0,,,,,
415,2020-01-02 04:00,-.2,42.8,1.3,0,,,,,
415,2020-01-02 05:00,-.2,22.1,.8,0,,,,,
415,2020-01-02 06:00,-.1,38.3,.9,0,,,,,
415,2020-01-02 07:00,-.1,37.8,1.2,0,,,,,
415,2020-01-02 08:00,.1,40,1.4,0,,,,,
415,2020-01-02 09:00,.4,33.7,1.7,0,,,,,
415,2020-01-02 10:00,1,29.9,2.2,0,,,,,
415,2020-01-02 11:00,1.8,50.2,1.3,0,,,,,
415,2020-01-02 12:00,2.7,24.1,.8,0,,,,,
415,2020-01-02 13:00,3.5,0,.3,0,,,,,
415,2020-01-02 14:00,4,288.3,1.1,0,,,,,
415,2020-01-02 15:00,4.2,312.7,1.1,0,,,,,
