지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
414,2006-01-01 00:00,1.4,270.1,1.5,0,,,0,,
414,2006-01-01 01:00,1.1,238.5,1.3,0,,,0,,
414,2006-01-01 02:00,1.2,224.2,.6,0,,,0,,
414,2006-01-01 03:00,1.2,207.4,.6,0,,,0,,
414,2006-01-01 04:00,1.3,238.9,1.4,0,,,0,,
414,2006-01-01 05:00,1.3,264.2,1.2,0,,,0,,
414,2006-01-01 06:00,.8,283.2,1.6,0,,,0,,
414,2006-01-01 07:00,1.1,327.4,2.4,0,,,0,,
414,2006-01-01 08:00,.8,308.8,1.6,0,,,0,,
414,2006-01-01 09:00,.7,236.2,1.1,0,,,0,,
414,2006-01-01 10:00,.8,228.4,1.1,0,,,0,,
414,2006-01-01 11:00,1.5,98.6,.9,0,,,0,,
414,2006-01-01 12:00,.8,276.8,2,0,,,0,,
414,2006-01-01 13:00,.6,267.8,.8,0,,,0,,
414,2006-01-01 14:00,.7,229.2,1.7,0,,,0,,
414,2006-01-01 15:00,1.1,233.5,1.1,0,,,0,,
414,2006-01-01 16:00,1.2,252,1.6,0,,,0,,
414,2006-01-01 17:00,.9,225,1.1,0,,,0,,
414,2006-01-01 18:00,.9,216.6,.6,0,,,0,,
414,2006-01-01 19:00,1,286.4,.7,0,,,0,,
414,2006-01-01 20:00,1,319.7,.8,0,,,0,,
414,2006-01-01 21:00,1,274.3,1.1,0,,,0,,
414,2006-01-01 22:00,1.1,0,.2,0,,,0,,
414,2006-01-01 23:00,1.2,0,.2,0,,,0,,
414,2006-01-02 00:00,1.1,0,0,0,,,0,,
414,2006-01-02 01:00,.9,0,.4,0,,,0,,
414,2006-01-02 02:00,1.1,0,.3,0,,,0,,
414,2006-01-02 03:00,.7,0,.3,0,,,0,,
414,2006-01-02 04:00,-.6,357,.6,0,,,0,,
414,2006-01-02 05:00,-.9,0,.3,0,,,0,,
414,2006-01-02 06:00,-1.3,313.7,2.5,0,,,0,,
414,2006-01-02 07:00,-1.1,306.5,1.7,0,,,0,,
414,2006-01-02 08:00,-1.6,283.2,.7,0,,,0,,
414,2006-01-02 09:00,-1.4,272.7,.7,0,,,0,,
414,2006-01-02 10:00,.5,57.6,1.8,0,,,0,,
414,2006-01-02 11:00,.2,.4,3.5,0,,,0,,
414,2006-01-02 12:00,1.2,359.3,2.3,0,,,0,,
414,2006-01-02 13:00,2.6,30.6,3,0,,,0,,
414,2006-01-02 14:00,3.4,288.7,2.1,0,,,0,,
414,2006-01-02 15:00,3,276.5,2.6,0,,,0,,
414,2006-01-02 16:00,2.6,285.7,3.3,0,,,0,,
