지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
414,2013-01-01 00:00,-8.5,335.7,1.3,0,,,66.5,0,0
414,2013-01-01 01:00,-8.5,340.1,1.6,0,,,66.5,0,0
414,2013-01-01 02:00,-8.7,345.9,1.6,0,,,68.3,0,0
414,2013-01-01 03:00,-8,11.8,2,0,,,67.2,0,0
414,2013-01-01 04:00,-8,31.9,2,0,,,68.4,0,0
414,2013-01-01 05:00,-7.8,34.2,1.4,0,,,69.2,0,0
414,2013-01-01 06:00,-8.3,27,1.6,0,,,87.1,0,0
414,2013-01-01 07:00,-8.1,19.6,3,.5,,,90.2,0,0
414,2013-01-01 08:00,-7.4,29,1.8,.5,,,88.8,0,0
414,2013-01-01 09:00,-6,351.7,1.7,0,,,86.5,0,0
414,2013-01-01 10:00,-5.4,41,1.3,0,,,85.9,0,0
414,2013-01-01 11:00,-5.4,34.3,1.7,0,,,87.5,0,0
414,2013-01-01 12:00,-4.9,0,.3,0,,,87.4,0,0
414,2013-01-01 13:00,-2.7,94.8,.8,0,,,83.5,0,0
414,2013-01-01 14:00,-.6,229.3,1.6,0,,,71.9,0,0
414,2013-01-01 15:00,-.4,218.8,1.9,0,,,67,0,0
414,2013-01-01 16:00,-1,270.9,2.1,0,,,64.8,0,0
414,2013-01-01 17:00,-1.5,205,1.1,0,,,67.6,0,0
414,2013-01-01 18:00,-1.6,216.5,1.4,0,,,68.8,0,0
414,2013-01-01 19:00,-1.9,230.1,1.3,0,,,70.6,0,0
414,2013-01-01 20:00,-2.5,264.2,1.2,0,,,85.4,0,0
414,2013-01-01 21:00,-2.6,188.4,.9,0,,,87.6,0,0
414,2013-01-01 22:00,-2.4,213.4,1.3,0,,,93.5,0,0
414,2013-01-01 23:00,-2.5,315.7,1.9,0,,,94.6,0,0
414,2013-01-02 00:00,-4.5,318,3.5,0,,,85.4,0,0
414,2013-01-02 01:00,-6.5,308.8,4.6,0,,,73.2,0,0
414,2013-01-02 02:00,-7.7,317,6,0,,,59.5,0,0
414,2013-01-02 03:00,-9,316.9,2,0,,,47.9,0,0
414,2013-01-02 04:00,-10.3,313,3.9,0,,,38.3,0,0
414,2013-01-02 05:00,-11.1,300.5,3.1,0,,,48,0,0
414,2013-01-02 06:00,-12.2,302.4,4.2,0,,,44.7,0,0
414,2013-01-02 07:00,-12.5,299,3.3,0,,,38.2,0,0
414,2013-01-02 08:00,-12.8,290.7,2.2,0,,,38.5,0,0
414,2013-01-02 09:00,-11.9,341.2,.9,0,,,39,0,0
414,2013-01-02 10:00,-11.2,325.4,4.4,0,,,44.2,0,0
414,2013-01-02 11:00,-10.7,315.9,3.8,0,,,44.5,0,0
414,2013-01-02 12:00,-9.3,326.6,2.8,0,,,42.4,0,0
414,2013-01-02 13:00,-9.3,301.1,3.7,0,,,43.2,0,0
414,2013-01-02 14:00,-9.8,295.7,3.7,0,,,44.9,0,0
414,2013-01-02 15:00,-9,287.3,3.2,0,,,44.9,0,0
414,2013-01-02 16:00,-9.8,300.9,2.6,0,,,44.5,0,0
414,2013-01-02 17:00,-10.6,307.7,4.3,0,,,48,0,0
414,2013-01-02 18:00,-11.4,281.8,2.3,0,,,48.7,0,0
414,2013-01-02 19:00,-12,299.1,1.5,0,,,51.1,0,0
414,2013-01-02 20:00,-12.3,283.1,1.1,0,,,53.9,0,0
414,2013-01-02 21:00,-12.7,228.1,1.3,0,,,54.6,0,0
414,2013-01-02 22:00,-13.5,299.9,3.3,0,,,57.9,0,0
414,2013-01-02 23:00,-14.2,70.3,1.7,0,,,58.2,0,0
414,2013-01-03 00:00,-14.8,310.7,1.5,0,,,61.7,0,0
414,2013-01-03 01:00,-15.1,306.6,2.6,0,,,63.1,0,0
414,2013-01-03 02:00,-15.8,285.9,1.4,0,,,61.6,0,0
414,2013-01-03 03:00,-15.7,307,2.6,0,,,60.4,0,0
414,2013-01-03 04:00,-16,308.7,2.2,0,,,59.2,0,0
414,2013-01-03 05:00,-16.6,334.6,1,0,,,63.1,0,0
414,2013-01-03 06:00,-16.2,296.3,1,0,,,57.2,0,0
414,2013-01-03 07:00,-17.2,278.1,.7,0,,,61.5,0,0
414,2013-01-03 08:00,-15.9,339.1,.9,0,,,59.3,0,0
414,2013-01-03 09:00,-14.5,157.2,1.2,0,,,60.5,0,0
414,2013-01-03 10:00,-13.4,132.2,.9,0,,,50.8,0,0
414,2013-01-03 11:00,-11.8,169.8,1.3,0,,,44.8,0,0
414,2013-01-03 12:00,-10.7,190.4,2,0,,,40.7,0,0
414,2013-01-03 13:00,-9.9,316.8,2.2,0,,,38.8,0,0
414,2013-01-03 14:00,-10,276.5,1.8,0,,,42.7,0,0
414,2013-01-03 15:00,-9.7,233.6,2.2,0,,,46.4,0,0
414,2013-01-03 16:00,-9.8,280.9,2.2,0,,,46.9,0,0
414,2013-01-03 17:00,-10.4,289.9,1.5,0,,,49.6,0,0
414,2013-01-03 18:00,-10.8,297.2,2.4,0,,,51,0,0
414,2013-01-03 19:00,-11.3,296.6,2.5,0,,,48.5,0,0
414,2013-01-03 20:00,-11.6,259.6,1.1,0,,,50.3,0,0
414,2013-01-03 21:00,-12.5,346.5,1.5,0,,,54.2,0,0
414,2013-01-03 22:00,-12.9,273.8,1.1,0,,,55.8,0,0
414,2013-01-03 23:00,-13.8,0,.4,0,,,61.7,0,0
414,2013-01-04 00:00,-13.4,23.3,1.3,0,,,52.2,0,0
414,2013-01-04 01:00,-13.9,0,.1,0,,,57.3,0,0
414,2013-01-04 02:00,-13.8,0,.3,0,,,59.6,0,0
414,2013-01-04 03:00,-13.9,0,.3,0,,,60.4,0,0
414,2013-01-04 04:00,-14,287.1,.7,0,,,60.1,0,0
414,2013-01-04 05:00,-14.5,295.2,.5,0,,,61.4,0,0
414,2013-01-04 06:00,-14.7,345.1,.8,0,,,65.9,0,0
414,2013-01-04 07:00,-14.8,329.4,.9,0,,,65.6,0,0
414,2013-01-04 08:00,-15,0,.2,0,,,66,0,0
414,2013-01-04 09:00,-13.5,47.6,2.3,0,,,61.6,0,0
414,2013-01-04 10:00,-12.4,99.9,.6,0,,,56.7,0,0
414,2013-01-04 11:00,-10.4,143.7,1.1,0,,,48.9,0,0
414,2013-01-04 12:00,-9.3,64.6,.9,0,,,49.7,0,0
414,2013-01-04 13:00,-8,116.9,1.5,0,,,46.1,0,0
414,2013-01-04 14:00,-6.5,118.2,1.4,0,,,45.8,0,0
414,2013-01-04 15:00,-6.7,215.6,1.5,0,,,41.8,0,0
