지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
419,2021-01-01 00:00,-9.6,292.1,3.3,0,,,,,
419,2021-01-01 01:00,-9.7,284.4,2,0,,,,,
419,2021-01-01 02:00,-9.7,285.3,1.8,0,,,,,
419,2021-01-01 03:00,-9.2,319.9,2.9,0,,,,,
419,2021-01-01 04:00,-9.1,0,.1,0,,,,,
419,2021-01-01 05:00,-9.3,124.7,2.4,0,,,,,
419,2021-01-01 06:00,-9.3,125.1,1.7,0,,,,,
419,2021-01-01 07:00,-9.1,148.9,1.3,0,,,,,
419,2021-01-01 08:00,-8.5,195.3,.6,0,,,,,
419,2021-01-01 09:00,-7,0,.4,0,,,,,
419,2021-01-01 10:00,-5,0,.2,0,,,,,
419,2021-01-01 11:00,-4.9,103.9,1.3,0,,,,,
419,2021-01-01 12:00,-2.7,258.4,1.1,0,,,,,
419,2021-01-01 13:00,-1,267.8,1.2,0,,,,,
419,2021-01-01 14:00,-1,262.1,1.9,0,,,,,
419,2021-01-01 15:00,-1.4,259.3,1.6,0,,,,,
419,2021-01-01 16:00,-1.9,268.4,1.7,0,,,,,
419,2021-01-01 17:00,-2.6,269.1,2.5,0,,,,,
419,2021-01-01 18:00,-3.1,269.9,1.9,0,,,,,
419,2021-01-01 19:00,-3,271,2.6,0,,,,,
419,2021-01-01 20:00,-3,273.2,2.6,0,,,,,
419,2021-01-01 21:00,-3,266.9,2.9,0,,,,,
419,2021-01-01 22:00,-3.4,280.7,3.4,0,,,,,
419,2021-01-01 23:00,-4.2,297.4,3.2,0,,,,,
419,2021-01-02 00:00,-4.9,356.7,3.4,0,,,,,
419,2021-01-02 01:00,-5.6,337.1,2.7,0,,,,,
419,2021-01-02 02:00,-6.3,283.4,3.2,0,,,,,
419,2021-01-02 03:00,-6.6,330.4,2.5,0,,,,,
419,2021-01-02 04:00,-7,30.8,2.5,0,,,,,
419,2021-01-02 05:00,-7.4,44.1,2.4,0,,,,,
419,2021-01-02 06:00,-7.8,33.4,1.2,0,,,,,
419,2021-01-02 07:00,-8,33.2,2.6,0,,,,,
419,2021-01-02 08:00,-8.4,29.6,1.8,0,,,,,
419,2021-01-02 09:00,-6.8,257.5,.7,0,,,,,
419,2021-01-02 10:00,-6.9,277.5,1.7,0,,,,,
419,2021-01-02 11:00,-6.1,266.7,1.7,0,,,,,
419,2021-01-02 12:00,-5.3,273,3,0,,,,,
419,2021-01-02 13:00,-4.3,271.9,3.7,0,,,,,
419,2021-01-02 14:00,-4,288.9,5.3,0,,,,,
419,2021-01-02 15:00,-4.2,330.6,3.3,0,,,,,
419,2021-01-02 16:00,-3.6,293.5,2.4,0,,,,,
419,2021-01-02 17:00,-4.3,270,3.8,0,,,,,
419,2021-01-02 18:00,-5,271.5,3.8,0,,,,,
419,2021-01-02 19:00,-5.4,264.5,3.3,0,,,,,
419,2021-01-02 20:00,-5.9,283.1,3.4,0,,,,,
419,2021-01-02 21:00,-6.4,309.2,3.5,0,,,,,
419,2021-01-02 22:00,-6.8,298.6,3.1,0,,,,,
419,2021-01-02 23:00,-7.5,292.9,4,0,,,,,
419,2021-01-03 00:00,-8.4,299,5.1,0,,,,,
419,2021-01-03 01:00,-8.8,291.4,4.2,0,,,,,
419,2021-01-03 02:00,-9.1,294.8,3.6,0,,,,,
419,2021-01-03 03:00,-9.3,289.8,3.4,0,,,,,
419,2021-01-03 04:00,-9.3,286.6,3.1,0,,,,,
419,2021-01-03 05:00,-9.4,293.9,1.9,0,,,,,
419,2021-01-03 06:00,-9.2,268.8,2.4,0,,,,,
419,2021-01-03 07:00,-8.8,286.8,2.3,0,,,,,
419,2021-01-03 08:00,-8.7,277.6,2.4,0,,,,,
419,2021-01-03 09:00,-8,286,3,0,,,,,
419,2021-01-03 10:00,-6.6,283,2.5,0,,,,,
419,2021-01-03 11:00,-5.8,282.2,1.9,0,,,,,
419,2021-01-03 12:00,-3.9,264.6,2.2,0,,,,,
419,2021-01-03 13:00,-3.6,264,1.6,0,,,,,
419,2021-01-03 14:00,-4.2,292,2.7,0,,,,,
419,2021-01-03 15:00,-4.3,297.4,3.1,0,,,,,
419,2021-01-03 16:00,-3.8,267.8,1.9,0,,,,,
419,2021-01-03 17:00,-4.6,276.9,2.3,0,,,,,
419,2021-01-03 18:00,-5.2,279.1,2.2,0,,,,,
419,2021-01-03 19:00,-5.6,273,1.8,0,,,,,
419,2021-01-03 20:00,-5.9,277,1.7,0,,,,,
419,2021-01-03 21:00,-5.8,290.2,1.8,0,,,,,
419,2021-01-03 22:00,-5.9,297,2.3,0,,,,,
419,2021-01-03 23:00,-6.1,23.8,2.6,0,,,,,
419,2021-01-04 00:00,-6.3,41.6,1.2,0,,,,,
419,2021-01-04 01:00,-6.7,52.6,1.8,0,,,,,
419,2021-01-04 02:00,-6.8,257.4,.9,0,,,,,
419,2021-01-04 03:00,-6.9,299.2,.9,0,,,,,
419,2021-01-04 04:00,-6.8,89.2,.9,0,,,,,
419,2021-01-04 05:00,-7.8,70.6,3.2,0,,,,,
419,2021-01-04 06:00,-8.3,80.8,4,0,,,,,
419,2021-01-04 07:00,-8.7,82.1,4.2,0,,,,,
419,2021-01-04 08:00,-8.6,82.9,3.7,0,,,,,
419,2021-01-04 09:00,-8.2,86.4,3.2,0,,,,,
419,2021-01-04 10:00,-6,90.1,.6,0,,,,,
419,2021-01-04 11:00,-5.6,69.5,1.9,0,,,,,
419,2021-01-04 12:00,-4.3,77,1.9,0,,,,,
419,2021-01-04 13:00,-3.4,89.9,1.8,0,,,,,
419,2021-01-04 14:00,-3,109.1,1.5,0,,,,,
419,2021-01-04 15:00,-2.4,66.8,1.1,0,,,,,
419,2021-01-04 16:00,-2,0,.2,0,,,,,
419,2021-01-04 17:00,-2.4,70.2,.8,0,,,,,
419,2021-01-04 18:00,-2.3,101.7,1.6,0,,,,,
419,2021-01-04 19:00,-2.3,125.5,1.3,0,,,,,
419,2021-01-04 20:00,-2.3,119.2,.9,0,,,,,
419,2021-01-04 21:00,-2.1,126.9,1.2,0,,,,,
419,2021-01-04 22:00,-2,39.9,2.2,0,,,,,
419,2021-01-04 23:00,-3.6,39.6,3.2,0,,,,,
419,2021-01-05 00:00,-4.8,43.7,4.9,0,,,,,
419,2021-01-05 01:00,-5,91.2,2,0,,,,,
419,2021-01-05 02:00,-4.2,0,.1,0,,,,,
419,2021-01-05 03:00,-3.9,325.6,1.5,0,,,,,
419,2021-01-05 04:00,-4.3,325.3,3.3,0,,,,,
419,2021-01-05 05:00,-5.6,333.5,3.4,0,,,,,
419,2021-01-05 06:00,-5.9,296.5,3.3,0,,,,,
419,2021-01-05 07:00,-6.6,340.4,3.5,0,,,,,
419,2021-01-05 08:00,-7.3,292.7,3.8,0,,,,,
419,2021-01-05 09:00,-7.6,308.6,3.3,0,,,,,
419,2021-01-05 10:00,-7.3,288.1,4.4,0,,,,,
419,2021-01-05 11:00,-6.1,269.8,3.5,0,,,,,
419,2021-01-05 12:00,-6.5,323.1,3.8,0,,,,,
419,2021-01-05 13:00,-5.2,269.2,3.1,0,,,,,
419,2021-01-05 14:00,-6,292.7,4.6,0,,,,,
419,2021-01-05 15:00,-5.5,272.6,3.3,0,,,,,
419,2021-01-05 16:00,-5.5,290.4,4.3,0,,,,,
419,2021-01-05 17:00,-6.6,289,3.7,0,,,,,
419,2021-01-05 18:00,-7.5,286.7,2.8,0,,,,,
419,2021-01-05 19:00,-8.2,277.4,4.6,0,,,,,
419,2021-01-05 20:00,-8.6,320.6,4.3,0,,,,,
419,2021-01-05 21:00,-9.3,326.8,2.8,0,,,,,
419,2021-01-05 22:00,-10,316.9,4,0,,,,,
419,2021-01-05 23:00,-10.8,313.4,2.2,0,,,,,
419,2021-01-06 00:00,-11.2,291.5,3,0,,,,,
419,2021-01-06 01:00,-11.6,281,1.9,0,,,,,
419,2021-01-06 02:00,-11.8,288.9,2.4,0,,,,,
419,2021-01-06 03:00,-12.2,281.9,1.9,0,,,,,
419,2021-01-06 04:00,-12.4,285,1.9,0,,,,,
419,2021-01-06 05:00,-12.3,319.9,1.6,0,,,,,
419,2021-01-06 06:00,-12,0,0,0,,,,,
419,2021-01-06 07:00,-11.8,95.1,1.5,0,,,,,
419,2021-01-06 08:00,-11.8,96.2,1,0,,,,,
419,2021-01-06 09:00,-10.6,304.6,.7,0,,,,,
419,2021-01-06 10:00,-8.6,302.2,.7,0,,,,,
419,2021-01-06 11:00,-9.3,305.5,2.3,0,,,,,
419,2021-01-06 12:00,-8.5,304.4,4.5,0,,,,,
419,2021-01-06 13:00,-5.1,277.2,1.3,0,,,,,
419,2021-01-06 14:00,-5.9,287.2,3.1,0,,,,,
419,2021-01-06 15:00,-4.6,254.9,1.8,0,,,,,
419,2021-01-06 16:00,-4.4,266.5,1.1,0,,,,,
419,2021-01-06 17:00,-5.4,262.6,.7,0,,,,,
419,2021-01-06 18:00,-5.6,225,.5,0,,,,,
419,2021-01-06 19:00,-7.2,253.2,1.5,0,,,,,
419,2021-01-06 20:00,-7.4,0,.3,.5,,,,,
419,2021-01-06 21:00,-6.7,256.5,1.9,1,,,,,
419,2021-01-06 22:00,-6.4,262.6,2.6,.5,,,,,
