지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
421,2016-01-01 00:00,1.1,117.9,1.5,0,,,84.9,0,0
421,2016-01-01 01:00,.8,88.4,.7,0,,,85.5,0,0
421,2016-01-01 02:00,.7,0,0,0,,,86.8,0,0
421,2016-01-01 03:00,.2,0,0,0,,,87.4,0,0
421,2016-01-01 04:00,-.2,0,0,0,,,88.8,0,0
421,2016-01-01 05:00,-.5,0,0,0,,,89.7,0,0
421,2016-01-01 06:00,-.7,0,.4,0,,,89.1,0,0
421,2016-01-01 07:00,-.8,0,0,0,,,91.2,0,0
421,2016-01-01 08:00,-.9,15.7,1.1,0,,,89.8,0,0
421,2016-01-01 09:00,-.6,0,.4,0,,,88.3,0,0
421,2016-01-01 10:00,0,0,0,0,,,85.3,0,0
421,2016-01-01 11:00,1.6,0,0,0,,,80.2,0,0
421,2016-01-01 12:00,2.6,96.7,1,0,,,73.3,0,0
421,2016-01-01 13:00,3.8,179.9,.6,0,,,66.7,0,0
421,2016-01-01 14:00,4.5,0,.3,0,,,63.5,0,0
421,2016-01-01 15:00,4.8,211.9,1.4,0,,,64.1,0,0
421,2016-01-01 16:00,5.1,206.9,1.9,0,,,63.8,0,0
421,2016-01-01 17:00,5.1,211.9,1.2,0,,,65.9,0,0
421,2016-01-01 18:00,5,0,0,0,,,67.8,0,0
421,2016-01-01 19:00,5.1,210.7,1.2,0,,,68.7,0,0
421,2016-01-01 20:00,5,177.5,2.2,0,,,71.1,0,0
421,2016-01-01 21:00,5.4,189.6,2.9,0,,,68.9,0,0
421,2016-01-01 22:00,5.3,181,1.3,0,,,70,0,0
421,2016-01-01 23:00,5.3,0,.3,0,,,71.6,0,0
421,2016-01-02 00:00,5,89.8,.6,0,,,73,0,0
421,2016-01-02 01:00,5,113.7,1.1,0,,,73.1,0,0
421,2016-01-02 02:00,5.1,170.4,.5,0,,,73.7,0,0
421,2016-01-02 03:00,5.1,158.3,1.6,0,,,73.6,0,0
421,2016-01-02 04:00,4.8,142.9,1.6,0,,,74,0,0
421,2016-01-02 05:00,4.5,143.9,2.3,0,,,75.8,0,0
421,2016-01-02 06:00,4.6,112.2,.8,0,,,77.3,0,0
421,2016-01-02 07:00,4.2,139.5,1.9,0,,,80,0,0
421,2016-01-02 08:00,4.1,74.5,.8,0,,,81.2,0,0
