지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
421,2006-01-01 00:00,1.5,179.9,.6,0,,,0,,
421,2006-01-01 01:00,.9,179.9,.8,0,,,0,,
421,2006-01-01 02:00,1.5,173.7,.6,0,,,0,,
421,2006-01-01 03:00,1.4,235.9,1.1,0,,,0,,
421,2006-01-01 04:00,1.6,225,1.2,0,,,0,,
421,2006-01-01 05:00,1.7,220.2,.7,0,,,0,,
421,2006-01-01 06:00,1.9,279.4,2.7,0,,,0,,
421,2006-01-01 07:00,1.6,273.7,1.8,0,,,0,,
421,2006-01-01 08:00,1.4,254.2,2.3,0,,,0,,
421,2006-01-01 09:00,1.3,225.8,2.2,0,,,0,,
421,2006-01-01 10:00,1.6,243.1,2,0,,,0,,
421,2006-01-01 11:00,2.2,275.5,1.3,0,,,0,,
421,2006-01-01 12:00,1.7,255.7,2.2,0,,,0,,
421,2006-01-01 13:00,1,282,2.3,0,,,0,,
421,2006-01-01 14:00,1.3,213,1.5,0,,,0,,
421,2006-01-01 15:00,1.6,206.3,1.1,0,,,0,,
421,2006-01-01 16:00,1.9,223,1.4,0,,,0,,
421,2006-01-01 17:00,1.8,211.9,.9,0,,,0,,
421,2006-01-01 18:00,1.7,221.7,2.2,0,,,0,,
421,2006-01-01 19:00,1.8,226.4,1.6,0,,,0,,
421,2006-01-01 20:00,1.8,216.7,1.5,0,,,0,,
421,2006-01-01 21:00,2.1,255.2,1.5,0,,,0,,
421,2006-01-01 22:00,2.2,292.9,.9,0,,,0,,
421,2006-01-01 23:00,1.8,221.8,2.1,0,,,0,,
421,2006-01-02 00:00,1.9,235,1,0,,,0,,
421,2006-01-02 01:00,1.9,255.6,.5,0,,,0,,
421,2006-01-02 02:00,1.6,196.9,.9,0,,,0,,
421,2006-01-02 03:00,2,307.9,1.2,0,,,0,,
421,2006-01-02 04:00,1.4,47.9,1,0,,,0,,
421,2006-01-02 05:00,.8,32,.8,0,,,0,,
421,2006-01-02 06:00,.5,289,1.1,0,,,0,,
421,2006-01-02 07:00,-.1,282,.7,0,,,0,,
421,2006-01-02 08:00,-.6,262.4,1.3,0,,,0,,
421,2006-01-02 09:00,0,244.4,2.1,0,,,0,,
421,2006-01-02 10:00,.5,295.2,1.9,0,,,0,,
