지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
421,2009-01-01 00:00,-5.3,306.7,5.4,0,,,0,,
421,2009-01-01 01:00,-5.4,305.4,5.1,0,,,0,,
421,2009-01-01 02:00,-6.1,352.4,4.9,0,,,0,,
421,2009-01-01 03:00,-6.2,357,2.5,0,,,0,,
421,2009-01-01 04:00,-6.5,315.3,2.2,0,,,0,,
421,2009-01-01 05:00,-6.5,306.6,3.9,0,,,0,,
421,2009-01-01 06:00,-6.7,277.7,2.1,0,,,0,,
421,2009-01-01 07:00,-6.6,296.3,2.3,0,,,0,,
421,2009-01-01 08:00,-6.9,310.8,.8,0,,,0,,
421,2009-01-01 09:00,-5.7,42.4,3.4,0,,,0,,
421,2009-01-01 10:00,-4.9,59.8,3.9,0,,,0,,
421,2009-01-01 11:00,-4,71.9,2.6,0,,,0,,
421,2009-01-01 12:00,-3,275,1.2,0,,,0,,
421,2009-01-01 13:00,-2.3,242,3.8,0,,,0,,
421,2009-01-01 14:00,-2.2,275.9,3.2,0,,,0,,
421,2009-01-01 15:00,-1,266.9,3.7,0,,,0,,
421,2009-01-01 16:00,-1,281.3,4.7,0,,,0,,
421,2009-01-01 17:00,-1.4,281.9,4.6,0,,,0,,
421,2009-01-01 18:00,-1.4,314.6,3,0,,,0,,
421,2009-01-01 19:00,-1.5,321.5,1.6,0,,,0,,
421,2009-01-01 20:00,-1.4,312.3,2.5,0,,,0,,
421,2009-01-01 21:00,-1.4,324.4,3,0,,,0,,
421,2009-01-01 22:00,-1.8,299.9,4,0,,,0,,
421,2009-01-01 23:00,-2.2,272.2,3.6,0,,,0,,
421,2009-01-02 00:00,-2,291.5,3.1,0,,,0,,
421,2009-01-02 01:00,-2.2,310.9,2.7,0,,,0,,
421,2009-01-02 02:00,-2.9,198.1,.6,0,,,0,,
421,2009-01-02 03:00,-3.1,43.8,1.5,0,,,0,,
421,2009-01-02 04:00,-3.8,0,.3,0,,,0,,
421,2009-01-02 05:00,-4.4,182.1,1.1,0,,,0,,
421,2009-01-02 06:00,-4.9,43.6,1.5,0,,,0,,
421,2009-01-02 07:00,-4.9,43.5,1.7,0,,,0,,
421,2009-01-02 08:00,-5.3,42.6,2.7,0,,,0,,
421,2009-01-02 09:00,-3.8,56.5,1.8,0,,,0,,
421,2009-01-02 10:00,-2.5,194,.8,0,,,0,,
421,2009-01-02 11:00,-1.1,65.6,1.8,0,,,0,,
421,2009-01-02 12:00,-.2,122.6,1.6,0,,,0,,
421,2009-01-02 13:00,.5,224.6,2.8,0,,,0,,
421,2009-01-02 14:00,1.3,241.5,4.1,0,,,0,,
421,2009-01-02 15:00,1.7,242.7,4.7,0,,,0,,
421,2009-01-02 16:00,1.8,258.3,3.1,0,,,0,,
421,2009-01-02 17:00,1.7,239.7,3.3,0,,,0,,
421,2009-01-02 18:00,1,270.6,4,0,,,0,,
421,2009-01-02 19:00,.9,277.8,1.9,0,,,0,,
421,2009-01-02 20:00,.1,238.6,1.5,0,,,0,,
421,2009-01-02 21:00,.1,255.9,1.3,0,,,0,,
421,2009-01-02 22:00,-.2,222.1,1.4,0,,,0,,
421,2009-01-02 23:00,-.7,165.2,1.6,0,,,0,,
421,2009-01-03 00:00,-1.1,165.7,.7,0,,,0,,
421,2009-01-03 01:00,-1.5,66.4,1.2,0,,,0,,
421,2009-01-03 02:00,-2.2,160.9,.8,0,,,0,,
421,2009-01-03 03:00,-2.5,91.9,.7,0,,,0,,
421,2009-01-03 04:00,-3.3,169.2,1.3,0,,,0,,
421,2009-01-03 05:00,-3,64.9,.7,0,,,0,,
421,2009-01-03 06:00,-3.3,145.9,.9,0,,,0,,
421,2009-01-03 07:00,-3.7,163.7,1.1,0,,,0,,
421,2009-01-03 08:00,-3.8,62.2,1.2,0,,,0,,
421,2009-01-03 09:00,-2.6,96.7,.6,0,,,0,,
421,2009-01-03 10:00,-1.5,194.1,1.2,0,,,0,,
421,2009-01-03 11:00,.1,191.5,1.9,0,,,0,,
421,2009-01-03 12:00,1.3,160.8,2.3,0,,,0,,
421,2009-01-03 13:00,2.8,180.8,1.6,0,,,0,,
421,2009-01-03 14:00,4,254.9,1.8,0,,,0,,
421,2009-01-03 15:00,4.5,239.7,3.7,0,,,0,,
421,2009-01-03 16:00,4.5,257.2,4.2,0,,,0,,
421,2009-01-03 17:00,4,299.6,4.2,0,,,0,,
421,2009-01-03 18:00,3.3,310.5,3.3,0,,,0,,
421,2009-01-03 19:00,2.5,266.9,2.7,0,,,0,,
421,2009-01-03 20:00,2.1,286.5,3.6,0,,,0,,
421,2009-01-03 21:00,1.7,258.1,1.4,0,,,0,,
421,2009-01-03 22:00,1.7,213,1.5,0,,,0,,
421,2009-01-03 23:00,1,147.9,.8,0,,,0,,
421,2009-01-04 00:00,.9,144.8,.5,0,,,0,,
421,2009-01-04 01:00,-.1,175.2,1.5,0,,,0,,
421,2009-01-04 02:00,0,146.2,1.2,0,,,0,,
421,2009-01-04 03:00,-.2,69.4,1.9,0,,,0,,
421,2009-01-04 04:00,-.3,70.5,1.2,0,,,0,,
421,2009-01-04 05:00,-.2,93,.8,0,,,0,,
421,2009-01-04 06:00,-.3,99.3,.7,0,,,0,,
421,2009-01-04 07:00,-1,154.3,1.5,0,,,0,,
421,2009-01-04 08:00,-1.1,190.1,1.2,0,,,0,,
421,2009-01-04 09:00,-.3,187.5,1.3,0,,,0,,
421,2009-01-04 10:00,1.3,169.8,.9,0,,,0,,
421,2009-01-04 11:00,2.6,107,.9,0,,,0,,
421,2009-01-04 12:00,4,183.2,1.5,0,,,0,,
421,2009-01-04 13:00,4.4,228.8,3.4,0,,,0,,
421,2009-01-04 14:00,4.8,219.3,4.1,0,,,0,,
421,2009-01-04 15:00,5.2,240.4,4.9,0,,,0,,
421,2009-01-04 16:00,5.3,260.3,4.9,0,,,0,,
421,2009-01-04 17:00,4.4,258.8,4.5,0,,,0,,
421,2009-01-04 18:00,3.6,268.4,3.3,0,,,0,,
