지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
418,2017-01-01 00:00,3,165.1,1.6,0,,,75.8,0,0
418,2017-01-01 01:00,2.8,183.8,1.1,0,,,74.6,0,0
418,2017-01-01 02:00,2.5,163.7,1.7,0,,,77.6,0,0
418,2017-01-01 03:00,2,173.6,1.4,0,,,80.8,0,0
418,2017-01-01 04:00,1.6,185.2,1.7,0,,,80.5,0,0
418,2017-01-01 05:00,1.8,156.8,1.7,0,,,83.8,0,0
418,2017-01-01 06:00,1.6,157.6,1.9,0,,,82.6,0,0
418,2017-01-01 07:00,1.4,173.2,2.1,0,,,85.5,0,0
418,2017-01-01 08:00,1.4,128.2,2,0,,,82.7,0,0
418,2017-01-01 09:00,1.7,155.1,2.5,0,,,83.1,0,0
418,2017-01-01 10:00,2.3,165.9,2.5,0,,,81.2,0,0
418,2017-01-01 11:00,3.1,171.3,1.8,0,,,77.9,0,0
418,2017-01-01 12:00,4.7,175.8,1.9,0,,,74.3,0,0
418,2017-01-01 13:00,5.4,174.9,1.2,0,,,69.8,0,0
418,2017-01-01 14:00,6.9,181.7,.6,0,,,64.5,0,0
418,2017-01-01 15:00,6.2,165.8,1.4,0,,,74.6,0,0
418,2017-01-01 16:00,7,176.1,.8,0,,,71.9,0,0
418,2017-01-01 17:00,7.2,178.5,1.2,0,,,69.4,0,0
418,2017-01-01 18:00,6.9,179.3,1.4,0,,,69.7,0,0
418,2017-01-01 19:00,6.5,0,.4,0,,,70.9,0,0
418,2017-01-01 20:00,6.4,191.1,.8,0,,,71.3,0,0
418,2017-01-01 21:00,6,147.3,1.8,0,,,73.6,0,0
418,2017-01-01 22:00,5.9,176.7,.5,0,,,73.9,0,0
418,2017-01-01 23:00,5.9,180.3,1.6,0,,,73.8,0,0
418,2017-01-02 00:00,5.9,191.7,.8,0,,,73.5,0,0
418,2017-01-02 01:00,5.5,175.2,1.3,0,,,77.3,0,0
418,2017-01-02 02:00,5.7,199.2,1.1,0,,,75.8,0,0
418,2017-01-02 03:00,5.7,192.9,1.1,0,,,73.9,0,0
418,2017-01-02 04:00,5.2,171.8,1.3,0,,,77.8,0,0
418,2017-01-02 05:00,5.3,170.5,.8,0,,,81,0,0
418,2017-01-02 06:00,5,181.7,1.4,0,,,84.3,0,0
418,2017-01-02 07:00,5.4,188.9,1,0,,,86.7,0,0
418,2017-01-02 08:00,5.6,181,.8,0,,,86,0,0
418,2017-01-02 09:00,5.6,170.8,1.1,0,,,88.7,0,0
418,2017-01-02 10:00,7.4,263.8,1.2,0,,,84.4,0,0
418,2017-01-02 11:00,8.8,282.4,1.6,0,,,79.8,0,0
418,2017-01-02 12:00,9.2,332.3,1.3,0,,,72.9,0,0
418,2017-01-02 13:00,9.4,330,2.4,0,,,63.6,0,0
418,2017-01-02 14:00,9,332.3,3.3,0,,,61.2,0,0
418,2017-01-02 15:00,8.7,337.4,3,0,,,64.5,0,0
418,2017-01-02 16:00,8.4,330.2,2.7,0,,,64.3,0,0
418,2017-01-02 17:00,8,339.8,4.1,0,,,65.5,0,0
418,2017-01-02 18:00,7.9,339.3,2.8,0,,,67.7,0,0
418,2017-01-02 19:00,7.4,321.6,2,0,,,71.6,0,0
418,2017-01-02 20:00,6.9,328.6,2.3,0,,,71.3,0,0
418,2017-01-02 21:00,5.7,356.3,2.9,0,,,81,0,0
418,2017-01-02 22:00,4.6,335.7,2.8,0,,,87.2,0,0
418,2017-01-02 23:00,4,316.7,2.1,0,,,78.5,0,0
418,2017-01-03 00:00,3,326.7,2.1,0,,,82.8,0,0
418,2017-01-03 01:00,2.3,342.7,2.1,0,,,86,0,0
418,2017-01-03 02:00,1.8,318.8,2.1,0,,,73.5,0,0
418,2017-01-03 03:00,1.4,323.4,1.7,0,,,65.5,0,0
418,2017-01-03 04:00,1.1,322.2,1.1,0,,,68.9,0,0
418,2017-01-03 05:00,.5,313.8,1.4,0,,,70,0,0
418,2017-01-03 06:00,.7,327.5,.9,0,,,63.5,0,0
418,2017-01-03 07:00,.5,343,1,0,,,62,0,0
418,2017-01-03 08:00,.4,345.7,.7,0,,,66.8,0,0
418,2017-01-03 09:00,2.6,288.6,.5,0,,,64,0,0
418,2017-01-03 10:00,3.2,51.3,.6,0,,,63.1,0,0
418,2017-01-03 11:00,4.2,61.1,.8,0,,,57.7,0,0
418,2017-01-03 12:00,5.7,22.9,.7,0,,,51.4,0,0
418,2017-01-03 13:00,7,253.3,2.6,0,,,44.5,0,0
418,2017-01-03 14:00,7.1,264.4,2.2,0,,,51.9,0,0
418,2017-01-03 15:00,7.6,344.2,1.7,0,,,50.5,0,0
418,2017-01-03 16:00,7.4,324.3,1.7,0,,,45.5,0,0
418,2017-01-03 17:00,6.5,282.1,1.6,0,,,50.7,0,0
418,2017-01-03 18:00,5.5,263.8,1.8,0,,,54.2,0,0
418,2017-01-03 19:00,5.2,263.7,1.8,0,,,48.1,0,0
418,2017-01-03 20:00,4.7,305.2,1.1,0,,,46.8,0,0
418,2017-01-03 21:00,4.5,278.5,1,0,,,56.3,0,0
418,2017-01-03 22:00,4.5,255.2,.9,0,,,60.7,0,0
418,2017-01-03 23:00,3.4,0,.4,0,,,70.5,0,0
418,2017-01-04 00:00,4.1,172.2,.7,0,,,68.7,0,0
418,2017-01-04 01:00,4.3,180.9,.9,0,,,73.8,0,0
418,2017-01-04 02:00,4.3,178.3,1.1,0,,,70.6,0,0
418,2017-01-04 03:00,4.3,179.8,1.2,0,,,76.3,0,0
418,2017-01-04 04:00,4.5,200.5,.8,0,,,72.4,0,0
418,2017-01-04 05:00,4.3,171.9,1.1,0,,,77.3,0,0
418,2017-01-04 06:00,4.5,176.3,1,0,,,79.2,0,0
418,2017-01-04 07:00,4.3,196.3,1.1,0,,,79.2,0,0
418,2017-01-04 08:00,4,178.5,.7,0,,,80.8,0,0
418,2017-01-04 09:00,4.8,0,.2,0,,,78.8,0,0
418,2017-01-04 10:00,4.3,6.5,1.8,0,,,79.5,0,0
418,2017-01-04 11:00,5.6,336.9,2.2,0,,,73.3,0,0
418,2017-01-04 12:00,5.9,1,3.4,0,,,67,0,0
418,2017-01-04 13:00,6.8,353.5,3.2,0,,,51.5,0,0
418,2017-01-04 14:00,7.5,354.3,2.8,0,,,40.6,0,0
418,2017-01-04 15:00,7.9,348.7,3.1,0,,,40.5,0,0
418,2017-01-04 16:00,7.7,339.5,3.3,0,,,36.2,0,0
418,2017-01-04 17:00,7.1,331.2,3.2,0,,,36.9,0,0
