지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
418,2018-01-01 00:00,-1.2,330,2.1,,,,48.5,,
418,2018-01-01 01:00,-1.4,339.8,.7,0,,,45.4,,
418,2018-01-01 02:00,-1.5,328.2,1.6,0,,,41.4,,
418,2018-01-01 03:00,-2,344.4,1.1,0,,,51,,
418,2018-01-01 04:00,-2,346.9,1.1,0,,,52.9,,
418,2018-01-01 05:00,-2.3,350.4,1.4,0,,,55,,
418,2018-01-01 06:00,-2.4,353.8,1.4,0,,,52.6,,
418,2018-01-01 07:00,-2.6,.6,1.2,0,,,53.6,,
418,2018-01-01 08:00,-2.7,347.1,.6,0,,,58.9,,
418,2018-01-01 09:00,-.7,23.1,.8,0,,,48.7,,
418,2018-01-01 10:00,-.3,18.2,1.4,0,,,51.3,,
418,2018-01-01 11:00,.6,353.9,2.1,0,,,31.8,,
418,2018-01-01 12:00,1.3,335,2.4,0,,,25.6,,
418,2018-01-01 13:00,1.8,357,2.5,0,,,26.8,,
418,2018-01-01 14:00,2.5,356.2,3.1,0,,,27.3,,
418,2018-01-01 15:00,2.7,0,2.3,0,,,31.6,,
418,2018-01-01 16:00,3,319.6,3,0,,,35,,
418,2018-01-01 17:00,2.3,326.7,2.4,0,,,38.8,,
418,2018-01-01 18:00,1.9,349.4,1.5,0,,,39.5,,
418,2018-01-01 19:00,1.4,292.8,.5,0,,,40.6,,
418,2018-01-01 20:00,1.2,0,.1,0,,,41.4,,
418,2018-01-01 21:00,.1,348.1,.5,0,,,50.1,,
418,2018-01-01 22:00,.2,0,.4,0,,,52.8,,
418,2018-01-01 23:00,.1,0,0,0,,,50.1,,
418,2018-01-02 00:00,-.2,345.5,.5,0,,,52.5,,
418,2018-01-02 01:00,-.3,0,.4,0,,,59.4,,
418,2018-01-02 02:00,-.7,0,.4,0,,,77.3,,
418,2018-01-02 03:00,-1.5,0,.3,0,,,74.9,,
418,2018-01-02 04:00,-.7,167.2,.8,0,,,74.6,,
418,2018-01-02 05:00,-.9,198.1,1.1,0,,,72.2,,
418,2018-01-02 06:00,-1.1,191.2,1,0,,,69.2,,
418,2018-01-02 07:00,-2.3,347.2,2,0,,,80.9,,
418,2018-01-02 08:00,-2,352.5,2.1,0,,,76.5,,
418,2018-01-02 09:00,-2,331.2,1.2,0,,,70.4,,
418,2018-01-02 10:00,-.8,341.1,2.1,0,,,62.1,,
418,2018-01-02 11:00,-.4,337.9,3.1,0,,,47.4,,
418,2018-01-02 12:00,.8,325.2,1.7,0,,,41.9,,
418,2018-01-02 13:00,1.3,327.7,2.7,0,,,31.1,,
418,2018-01-02 14:00,1.3,321.1,3.9,0,,,26.2,,
418,2018-01-02 15:00,1.1,326.9,3.5,0,,,27.9,,
418,2018-01-02 16:00,1,340.5,3.9,0,,,30,,
418,2018-01-02 17:00,.7,332.8,3.2,0,,,31.1,,
418,2018-01-02 18:00,.4,320.3,2.9,0,,,25,,
418,2018-01-02 19:00,-.1,334.2,3.2,0,,,31.3,,
418,2018-01-02 20:00,-1,344.6,3.1,0,,,31.7,,
418,2018-01-02 21:00,-1.8,337.8,3.3,0,,,32,,
418,2018-01-02 22:00,-2.7,333,3.5,0,,,39.9,,
418,2018-01-02 23:00,-3,359.3,4.6,0,,,41.1,,
418,2018-01-03 00:00,-3.5,346.7,3.6,0,,,50.7,,
418,2018-01-03 01:00,-4.2,334.6,2.7,0,,,47.4,,
418,2018-01-03 02:00,-4.3,10.7,4.5,0,,,45,,
418,2018-01-03 03:00,-4.6,12.5,2.6,0,,,45.7,,
418,2018-01-03 04:00,-4.7,9,2.5,0,,,48.2,,
418,2018-01-03 05:00,-5.4,347.8,2.5,0,,,48.4,,
418,2018-01-03 06:00,-5.6,339.4,2.7,0,,,46.4,,
418,2018-01-03 07:00,-5.4,356,2.2,0,,,52,,
418,2018-01-03 08:00,-5.5,343.9,2.8,0,,,56,,
418,2018-01-03 09:00,-5.1,353.4,3.8,0,,,52.4,,
418,2018-01-03 10:00,-5,345.3,3.5,0,,,44,,
418,2018-01-03 11:00,-4.1,355.4,2.6,0,,,45,,
418,2018-01-03 12:00,-3.6,338.2,3.3,0,,,40.4,,
418,2018-01-03 13:00,-3,350.6,3.5,0,,,39.8,,
418,2018-01-03 14:00,-2.4,346.3,3.8,0,,,38.7,,
418,2018-01-03 15:00,-1.6,341.5,3.2,0,,,38.1,,
418,2018-01-03 16:00,-1.4,336.6,3.1,0,,,37.1,,
418,2018-01-03 17:00,-2.1,341.3,3.2,0,,,40.5,,
