지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
418,2006-01-01 00:00,2.2,,,0,,,0,,
418,2006-01-01 01:00,2.9,262.9,.8,0,,,0,,
418,2006-01-01 02:00,2.1,0,.2,0,,,0,,
418,2006-01-01 03:00,2.1,316.3,.9,0,,,0,,
418,2006-01-01 04:00,2.2,323,.9,0,,,0,,
418,2006-01-01 05:00,2.3,314.3,1.5,0,,,0,,
418,2006-01-01 06:00,1.7,315.6,2,0,,,0,,
418,2006-01-01 07:00,1.7,314.9,1.6,0,,,0,,
418,2006-01-01 08:00,1.6,308.2,1.1,0,,,0,,
418,2006-01-01 09:00,2.1,273.8,.5,0,,,0,,
418,2006-01-01 10:00,2.2,346.1,.9,0,,,0,,
418,2006-01-01 11:00,2.5,299.6,1.3,0,,,0,,
418,2006-01-01 12:00,2.1,283,.9,0,,,0,,
418,2006-01-01 13:00,.6,317.3,2.1,0,,,0,,
418,2006-01-01 14:00,1.3,0,.2,0,,,0,,
418,2006-01-01 15:00,1.9,3.4,.5,0,,,0,,
418,2006-01-01 16:00,2.3,321,.6,0,,,0,,
418,2006-01-01 17:00,2.2,212.6,.6,0,,,0,,
418,2006-01-01 18:00,,,,0,,,,,
418,2006-01-01 19:00,2.1,,,,,,0,,
418,2006-01-01 20:00,2.2,,,,,,0,,
418,2006-01-01 21:00,1.9,,,0,,,0,,
418,2006-01-01 22:00,2.1,,,0,,,0,,
418,2006-01-01 23:00,,,,,,,,,
418,2006-01-02 00:00,2.5,,,0,,,0,,
418,2006-01-02 01:00,2,0,.4,0,,,0,,
418,2006-01-02 02:00,1.4,315.7,2.1,0,,,0,,
418,2006-01-02 03:00,1.7,305.4,1.2,0,,,0,,
418,2006-01-02 04:00,.7,308.8,1.8,0,,,0,,
418,2006-01-02 05:00,.4,290,.9,0,,,0,,
418,2006-01-02 06:00,-.2,301.3,1.8,0,,,0,,
418,2006-01-02 07:00,-.6,299.4,.9,0,,,0,,
418,2006-01-02 08:00,-1,319.8,2.2,0,,,0,,
418,2006-01-02 09:00,-1,304.4,1.2,0,,,0,,
418,2006-01-02 10:00,-1.3,308.5,2.9,0,,,0,,
418,2006-01-02 11:00,-.2,306.2,2.1,0,,,0,,
418,2006-01-02 12:00,1,328.9,2.4,0,,,0,,
418,2006-01-02 13:00,3.3,0,.4,0,,,0,,
418,2006-01-02 14:00,3,326.3,2.6,0,,,0,,
418,2006-01-02 15:00,3.6,320.8,2.2,0,,,0,,
418,2006-01-02 16:00,3.3,300.1,2.7,0,,,0,,
418,2006-01-02 17:00,2.7,296.6,3.5,0,,,0,,
418,2006-01-02 18:00,1.7,,,0,,,0,,
418,2006-01-02 19:00,.4,,,0,,,0,,
418,2006-01-02 20:00,-.2,,,0,,,0,,
418,2006-01-02 21:00,-1,,,0,,,0,,
418,2006-01-02 22:00,,,,0,,,,,
418,2006-01-02 23:00,-1.7,,,0,,,0,,
418,2006-01-03 00:00,-1.8,,,0,,,0,,
418,2006-01-03 01:00,-2.1,306.2,2.4,0,,,0,,
418,2006-01-03 02:00,-2.3,308.4,2.3,0,,,0,,
418,2006-01-03 03:00,-2.4,302.9,2,0,,,0,,
418,2006-01-03 04:00,-2.6,303.5,1.7,0,,,0,,
418,2006-01-03 05:00,-3.1,298.6,2.3,0,,,0,,
418,2006-01-03 06:00,-3.3,305.8,1.4,0,,,0,,
418,2006-01-03 07:00,-3.2,309.5,1.7,0,,,0,,
418,2006-01-03 08:00,-3,293.3,1.7,0,,,0,,
418,2006-01-03 09:00,-2.6,296.8,2.2,0,,,0,,
418,2006-01-03 10:00,-1.8,309.8,2.8,0,,,0,,
418,2006-01-03 11:00,-1.4,302.3,2.8,0,,,0,,
418,2006-01-03 12:00,-.8,302.6,3.2,0,,,0,,
418,2006-01-03 13:00,-.2,302.5,3.3,0,,,0,,
418,2006-01-03 14:00,.5,296.3,2.7,0,,,0,,
418,2006-01-03 15:00,.8,303,3.6,0,,,0,,
